🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇮🇹	🇪🇸	🇰🇷	🇨🇳	🇹🇼
トラップシェル	Shell Trap	Panzerfalle	Carapiège	Gusciotrappola	Coraza Trampa	트랩셸	陷阱甲壳	陷阱甲殼
フルールカノン	Fleur Cannon	Kanonenbouquet	Canon Floral	Cannonfiore	Cañón Floral	플뢰르캐논	花朵加农炮	花朵加農炮
サイコファング	Psychic Fangs	Psychobeißer	Psycho-Croc	Psicozanna	Psicocolmillo	사이코팽	精神之牙	精神之牙
じだんだ	Stomping Tantrum	Fruststampfer	Trépignement	Battipiedi	Pataleta	분함의발구르기	跺脚	跺腳
シャドーボーン	Shadow Bone	Schattenknochen	Os’Ombre	Ossotetro	Hueso Sombrío	섀도본	暗影之骨	暗影之骨
アクセルロック	Accelerock	Turbofelsen	Vif Roc	Rocciarapida	Roca Veloz	액셀록	冲岩	衝岩
アクアブレイク	Liquidation	Aquadurchstoß	Aqua-Brèche	Idrobreccia	Hidroariete	아쿠아브레이크	水流裂破	水流裂破
プリズムレーザー	Prismatic Laser	Prisma-Laser	Laser Prisme	Prismalaser	Láser Prisma	프리즘레이저	棱镜镭射	稜鏡鐳射
シャドースチール	Spectral Thief	Diebesschatten	Clepto-Mânes	Ombrafurto	Robasombra	섀도스틸	暗影偷盗	暗影偷盜
メテオドライブ	Sunsteel Strike	Stahlgestirn	Choc Météore	Astrocarica	Meteoimpacto	메테오드라이브	流星闪冲	流星閃衝
シャドーレイ	Moongeist Beam	Schattenstrahl	Rayon Spectral	Raggio d’Ombra	Rayo Umbrío	섀도레이	暗影之光	暗影之光
なみだめ	Tearful Look	Tränendrüse	Larme à l’Œil	Occhionilucidi	Ojos Llorosos	눈물그렁그렁	泪眼汪汪	淚眼汪汪
びりびりちくちく	Zing Zap	Elektropikser	Électrikipik	Elettropizzico	Electropunzada	찌리리따끔따끔	麻麻刺刺	麻麻刺刺
しぜんのいかり	Nature’s Madness	Naturzorn	Ire de la Nature	Ira della Natura	Furia Natural	자연의분노	自然之怒	自然之怒
マルチアタック	Multi-Attack	Multi-Angriff	Coup Varia-Type	Multiattacco	Multiataque	멀티어택	多属性攻击	多屬性攻擊
1000まんボルト	10,000,000 Volt Thunderbolt	Tausendfacher Donnerblitz	Giga-Tonnerre	Iperfulmine	Gigarrayo Fulminante	1000만볼트	千万伏特	千萬伏特
フォトンゲイザー	Photon Geyser	Photonen-Geysir	Photo-Geyser	Geyser Fotonico	Géiser Fotónico	포톤가이저	光子喷涌	光子噴湧
ビックリヘッド	Mind Blown	Knallkopf	Caboche-Kaboum	Sbalorditeata	Cabeza Sorpresa	깜짝헤드	惊爆大头	驚爆大頭
プラズマフィスト	Plasma Fists	Plasmafäuste	Plasma Punch	Pugni Plasma	Puños Plasma	플라스마피스트	等离子闪电拳	等離子閃電拳
ブレイジングソウルビート	Clangorous Soulblaze	Rasselnder Seelentanz	Dracacophonie Flamboyante	Dracofonia Divampante	Estruendo Implacable	브레이징소울비트	炽魂热舞烈音爆	熾魂熱舞烈音爆
ラジアルエッジストーム	Splintered Stormshards	Fataler Steinregen	Hurlement des Roches-Lames	Litotempesta Radiale	Tempestad Rocosa	레이디얼에지스톰	狼啸石牙飓风暴	狼嘯石牙颶風暴
サンシャインスマッシャー	Searing Sunraze Smash	Schmetternde Sonnenwalze	Hélio Choc Dévastateur	Supercollisione Solare	Embestida Solar	선샤인스매셔	日光回旋下苍穹	日光迴旋下蒼穹
ムーンライトブラスター	Menacing Moonraze Maelstrom	Geballter Mondlaser	Rayons Séléno-Explosifs	Deflagrazione Lunare	Deflagración Lunar	문라이트블래스터	月华飞溅落灵霄	月華飛濺落靈霄
てんこがすめつぼうのひかり	Light That Burns The Sky	Licht des Erlöschens	Apocalypsis Luminis	Fotodistruzione Apocalittica	Fotodestrucción Apocalíptica	하늘을태우는멸망의빛	焚天灭世炽光爆	焚天滅世熾光爆
ぽかぼかフレンドタイム	Let's Snuggle Forever	Herzliche Knuddelkloppe	Patati-Patattrape	Dolcesacco di Botte	Somanta Amistosa	투닥투닥프렌드타임	亲密无间大乱揍	親密無間大亂揍
ばちばちアクセル	Zippy Zap	Britzelturbo	Pika-Sprint	Sprintaboom	Pikaturbo	파찌파찌액셀	电电加速	電電加速
ざぶざぶサーフ	Splishy Splash	Plätschersurfer	Pika-Splash	Surfasplash	Salpikasurf	참방참방서핑	滔滔冲浪	滔滔衝浪
ふわふわフォール	Floaty Fall	Schwebesturz	Pika-Piqué	Piombaflap	Pikapicado	둥실둥실폴	飘飘坠落	飄飄墜落
ピカピカサンダー	Pika Papow	Pika-Flash	Pika-Fracas	Pikasaetta	Pikatormenta	피카피카썬더	闪闪雷光	閃閃雷光
いきいきバブル	Bouncy Bubble	Blubbsauger	Évo-Thalasso	Bollaslurp	Vapodrenaje	생생버블	活活气泡	活活氣泡
びりびりエレキ	Buzzy Buzz	Knisterladung	Évo-Dynamo	Elettrozap	Joltioparálisis	찌릿찌릿일렉	麻麻电击	麻麻電擊
めらめらバーン	Sizzly Slide	Flackerbrand	Évo-Flambo	Fiammabam	Flarembestida	이글이글번	熊熊火爆	熊熊火爆
どばどばオーラ	Glitzy Glow	Pulsieraura	Évo-Psycho	Auraswoosh	Espeaura	콸콸오라	哗哗气场	嘩嘩氣場
わるわるゾーン	Baddy Bad	Quälzone	Évo-Ténébro	Zona Buiabuia	Umbreozona	아그아그존	坏坏领域	壞壞領域
すくすくボンバー	Sappy Seed	Sprießbomben	Évo-Écolo	Bombafrush	Leafitobombas	쑥쑥봄버	茁茁轰炸	茁茁轟炸
こちこちフロスト	Freezy Frost	Klirrfrost	Évo-Congélo	Scricchiagelo	Glaceoprisma	꽁꽁프로스트	冰冰霜冻	冰冰霜凍
きらきらストーム	Sparkly Swirl	Glitzersturm	Évo-Fabulo	Sbrilluccibufera	Sylveotornado	반짝반짝스톰	亮亮风暴	亮亮風暴
ブイブイブレイク	Veevee Volley	Evo-Crash	Évo-Chardasso	Eeveempatto	Eevimpacto	브이브이브레이크	砰砰击破	砰砰擊破
ダブルパンツァー	Double Iron Bash	Panzerfäuste	Écrous d’Poing	Pugni Corazzati	Ferropuño Doble	더블펀처	钢拳双击	鋼拳雙擊
ダイアタック	Max Strike	Normalomax	Dyna-Angriff	Dynattacco	Maxiataque	다이어택	极巨攻击	極巨攻擊
ダイナックル	Max Knuckle	Pugilomax	Dyna-Faust	Dynapugno	Maxipuño	다이너클	极巨拳斗	極巨拳斗
ダイジェット	Max Airstream	Aéromax	Dyna-Düse	Dynajet	Maxiciclón	다이제트	极巨飞冲	極巨飛衝
ダイアシッド	Max Ooze	Toxinomax	Dyna-Giftschwall	Dynacorrosione	Maxiácido	다이애시드	极巨酸毒	極巨酸毒
ダイアース	Max Quake	Sismomax	Dyna-Erdstoß	Dynasisma	Maxitemblor	다이어스	极巨大地	極巨大地
ダイロック	Max Rockfall	Lithomax	Dyna-Brocken	Dynamacigno	Maxilito	다이록	极巨岩石	極巨岩石
ダイワーム	Max Flutterby	Insectomax	Dyna-Schwarm	Dynainsetto	Maxinsecto	다이웜	极巨虫蛊	極巨蟲蠱
ダイホロウ	Max Phantasm	Spectromax	Dyna-Spuk	Dynavuoto	Maxiespectro	다이할로우	极巨幽魂	極巨幽魂
ダイスチル	Max Steelspike	Métallomax	Dyna-Stahlzacken	Dynametallo	Maximetal	다이스틸	极巨钢铁	極巨鋼鐵
ダイバーン	Max Flare	Pyromax	Dyna-Brand	Dynafiammata	Maxignición	다이번	极巨火爆	極巨火爆
ダイストリーム	Max Geyser	Hydromax	Dyna-Flut	Dynaflusso	Maxichorro	다이스트림	极巨水流	極巨水流
ダイソウゲン	Max Overgrowth	Phytomax	Dyna-Flora	Dynaflora	Maxiflora	다이그래스	极巨草原	極巨草原
ダイサンダー	Max Lightning	Fulguromax	Dyna-Gewitter	Dynasaetta	Maxitormenta	다이썬더	极巨闪电	極巨閃電
ダイサイコ	Max Mindstorm	Psychomax	Dyna-Kinese	Dynapsiche	Maxionda	다이사이코	极巨超能	極巨超能
ダイアイス	Max Hailstorm	Cryomax	Dyna-Frost	Dynagelo	Maxihelada	다이아이스	极巨冰雪	極巨冰雪
ダイドラグーン	Max Wyrmwind	Dracomax	Dyna-Wyrm	Dynadragone	Maxidraco	다이드라군	极巨龙骑	極巨龍騎
ダイアーク	Max Darkness	Sinistromax	Dyna-Dunkel	Dynatenebre	Maxisombra	다이아크	极巨恶霸	極巨惡霸
ダイフェアリー	Max Starfall	Enchantomax	Dyna-Zauber	Dynafata	Maxiestela	다이페어리	极巨妖精	極巨妖精
ダイウォール	Max Guard	Gardomax	Dyna-Wall	Dynabarriera	Maxibarrera	다이월	极巨防壁	極巨防壁
キョダイゴクエン	G-Max Wildfire	Fournaise G-Max	Giga-Feuerflug	Gigavampa	Gigallamarada	거다이옥염	超极巨地狱灭焰	超極巨地獄滅焰
キョダイコワク	G-Max Befuddle	Illusion G-Max	Giga-Benebelung	Gigastupore	Gigaestupor	거다이고혹	超极巨蝶影蛊惑	超極巨蝶影蠱惑
キョダイバンライ	G-Max Volt Crash	Foudre G-Max	Giga-Blitzhagel	Gigapikafolgori	Gigatronada	거다이만뢰	超极巨万雷轰顶	超極巨萬雷轟頂
キョダイコバン	G-Max Gold Rush	Pactole G-Max	Giga-Münzregen	Gigamonete	Gigamonedas	거다이금화	超极巨特大金币	超極巨特大金幣
キョダイシンゲキ	G-Max Chi Strike	Frappe G-Max	Giga-Fokusschlag	Gigapugnointuito	Gigapuñición	거다이회심격	超极巨会心一击	超極巨會心一擊
キョダイゲンエイ	G-Max Terror	Hantise G-Max	Giga-Spuksperre	Gigaillusione	Gigaaparición	거다이환영	超极巨幻影幽魂	超極巨幻影幽魂
キョダイホウマツ	G-Max Foam Burst	Bulles G-Max	Giga-Schaumbad	Gigaschiuma	Gigaespuma	거다이포말	超极巨激漩泡涡	超極巨激漩泡渦
キョダイセンリツ	G-Max Resonance	Résonance G-Max	Giga-Melodie	Gigamelodia	Gigamelodía	거다이선율	超极巨极光旋律	超極巨極光旋律
キョダイホーヨー	G-Max Cuddle	Câlin G-Max	Giga-Gekuschel	Gigabbraccio	Gigaternura	거다이포옹	超极巨热情拥抱	超極巨熱情擁抱
キョダイサイセイ	G-Max Replenish	Récolte G-Max	Giga-Recycling	Gigarinnovamento	Gigarreciclaje	거다이재생	超极巨资源再生	超極巨資源再生
キョダイシュウキ	G-Max Malodor	Pestilence G-Max	Giga-Gestank	Gigafetore	Gigapestilencia	거다이악취	超极巨臭气冲天	超極巨臭氣沖天
キョダイコランダ	G-Max Drum Solo	Percussion G-Max	Giga-Getrommel	Gigarullio	Gigarredoble	거다이난타	超极巨狂擂乱打	超極巨狂擂亂打
キョダイカキュウ	G-Max Fireball	Pyroball G-Max	Giga-Brandball	Gigafiammopalla	Gigaesfera Ígnea	거다이화염구	超极巨破阵火球	超極巨破陣火球
キョダイソゲキ	G-Max Hydrosnipe	Gâchette G-Max	Giga-Schütze	Gigasparomirato	Gigadisparo	거다이저격	超极巨狙击神射	超極巨狙擊神射
キョダイフウゲキ	G-Max Wind Rage	Rafale G-Max	Giga-Sturmstoß	Gigaciclone	Gigahuracán	거다이풍격	超极巨旋风袭卷	超極巨旋風襲捲
キョダイテンドウ	G-Max Gravitas	Ondes G-Max	Giga-Astrowellen	Gigagravitoforza	Gigabóveda	거다이천도	超极巨天道七星	超極巨天道七星
キョダイガンジン	G-Max Stonesurge	Récif G-Max	Giga-Geröll	Gigarocciagetto	Gigatrampa Rocas	거다이암진	超极巨岩阵以待	超極巨岩陣以待
キョダイフンセキ	G-Max Volcalith	Téphra G-Max	Giga-Schlacke	Gigalapilli	Gigarroca Ígnea	거다이분석	超极巨炎石喷发	超極巨炎石噴發
キョダイサンゲキ	G-Max Tartness	Corrosion G-Max	Giga-Säureguss	Gigattaccoacido	Gigacorrosión	거다이산격	超极巨酸不溜丟	超極巨酸不溜丟
キョダイカンロ	G-Max Sweetness	Nectar G-Max	Giga-Nektarflut	Gigambrosia	Giganéctar	거다이감로	超极巨琼浆玉液	超極巨瓊漿玉液
キョダイサジン	G-Max Sandblast	Enlisement G-Max	Giga-Sandstoß	Gigavortisabbia	Gigapolvareda	거다이사진	超极巨沙尘漫天	超極巨沙塵漫天
キョダイカンデン	G-Max Stun Shock	Choc G-Max	Giga-Voltschlag	Gigatoxiscossa	Gigadescarga	거다이감전	超极巨异毒电场	超極巨異毒電場
キョダイヒャッカ	G-Max Centiferno	Combustion G-Max	Giga-Feuerkessel	Gigamillefiamme	Gigacienfuegos	거다이백화	超极巨百火焚野	超極巨百火焚野
キョダイテンバツ	G-Max Smite	Sentence G-Max	Giga-Sanktion	Gigacastigo	Gigacastigo	거다이천벌	超极巨万雷轰顶	超極巨天譴雷誅
キョダイスイマ	G-Max Snooze	Torpeur G-Max	Giga-Gähnzwang	Gigatorpore	Gigasopor	거다이수마	超极巨睡魔降临	超極巨睡魔降臨
キョダイダンエン	G-Max Finale	Cure G-Max	Giga-Lichtblick	Gigagranfinale	Gigacolofón	거다이단원	超极巨幸福圆满	超極巨幸福圓滿
キョダイコウジン	G-Max Steelsurge	Percée G-Max	Giga-Stahlschlag	Gigaferroaculei	Gigatrampa Acero	거다이강철진	超极巨钢铁阵法	超極巨鋼鐵陣法
キョダイゲンスイ	G-Max Depletion	Usure G-Max	Giga-Dämpfer	Gigalogoramento	Gigadesgaste	거다이감쇠	超极巨劣化衰变	超極巨劣化衰變
Gのちから	Grav Apple	Force G	Gravitation	Forza G	Fuerza G	G의힘	万有引力	萬有引力
いのちのしずく	Life Dew	Fontaine de Vie	Lebenstropfen	Goccia Vitale	Gota Vital	생명의물방울	生命水滴	生命水滴
えだづき	Branch Poke	Tapotige	Zweigstoß	Ramostoccata	Punzada Rama	가지찌르기	木枝突刺
エラがみ	Fishious Rend	Branchicrok	Kiemenbiss	Branchiomorso	Branquibocado	아가미물기	鳃咬	鰓咬
オーバードライブ	Overdrive	Overdrive	Overdrive	Overdrive	Amplificador	오버드라이브	破音	破音
オーラぐるま	Aura Wheel	Roue Libre	Aura-Rad	Ruota d'Aura	Rueda Aural	오라휠	气场轮	氣場輪
おちゃかい	Teatime	Thérémonie	Teatime	Ora del Tè	Hora del Té	다과회	茶会	茶會
かえんボール	Pyro Ball	Ballon Brûlant	Feuerball	Palla Infuocata	Balón Ígneo	화염볼	火焰球	火焰球
きょじゅうざん	Behemoth Blade	Gladius Maximus	Gigantenhieb	Taglio Maestoso	Tajo Supremo	거수참	巨兽斩	巨獸斬
きょじゅうだん	Behemoth Bash	Aegis Maxima	Gigantenstoß	Colpo Maestoso	Embate Supremo	거수탄	巨兽弹	巨獸彈
くらいつく	Jaw Lock	Croque Fort	Fesselbiss	Morsostretto	Presa Maxilar	물고버티기	紧咬不放	緊咬不放
コートチェンジ	Court Change	Change-Côté	Seitenwechsel	Cambiocampo	Cambio de Cancha	코트체인지	换场	換場
ジャングルヒール	Jungle Healing	Selve Salvatrice	Dschungelheilung	Giunglacura	Cura Selvática		丛林治疗	叢林治療
スターアサルト	Meteor Assault	Joute Astrale	Sternensturm	Sfolgorassalto	Asalto Estelar	스타어설트	流星突击	流星突擊
ソウルクラッシュ	Spirit Break	Choc Émotionnel	Seelenbruch	Frantumanima	Choque Anímico	소울크래시	灵魂冲击	靈魂衝擊
ソウルビート	Clangorous Soul	Dracacophonie	Seelentanz	Dracofonia	Estruendo Escama	소울비트	魂舞烈音爆	魂舞烈音爆
タールショット	Tar Shot	Goudronnage	Teerschuss	Colpocatrame	Alquitranazo	타르숏	沥青射击	瀝青射擊
ダイマックスほう	Dynamax Cannon	Canon Dynamax	Dynamax-Kanone	Cannone Dynamax	Cañón Dinamax	다이맥스포	极巨炮	極巨炮
たこがため	Octolock	Octoprise	Octoklamme	Tentacolock	Octopresa	문어굳히기	蛸固	蛸固
デコレーション	Decorate	Nappage	Verzierung	Decorazione	Decoración	데코레이션	装饰	裝飾
てっていこうせん	Steel Beam	Métalaser	Stahlstrahl	Raggio d'Acciaio	Metaláser	철저광선	铁蹄光线	鐵蹄光線
でんげきくちばし	Bolt Beak	Prise de Bec	Schockschnabel	Beccoshock	Electropico	전격부리	电喙	電喙
どげざつき	False Surrender	Fourbette	Kniefalltrick	Supplicolpo	Irreverencia	사죄의찌르기	假跪真撞	假跪真撞
ドラゴンアロー	Dragon Darts	Draco-Flèches	Drachenpfeile	Dragofrecce	Dracoflechas	드래곤애로	龙箭	龍箭
トラバサミ	Snap Trap	Troquenard	Fangeisen	Tagliola	Cepo	집게덫	捕兽夹	捕獸夾
ドラムアタック	Drum Beating	Tambour Battant	Trommelschläge	Tamburattacco	Batería Asalto	드럼어택	鼓击	鼓擊
ねらいうち	Snipe Shot	Tir de Précision	Präzisionsschuss	Tiromirato	Disparo Certero	노려맞히기	狙击	狙擊
はいすいのじん	No Retreat	Ultime Bastion	Finalformation	Spalle al Muro	Bastión Final	배수의진	背水一战	背水一戰
ブロッキング	Obstruct	Blocage	Abblocker	Sbarramento	Obstrucción	블로킹	拦堵	攔堵
ほおばる	Stuff Cheeks	Garde-à-Joues	Backenstopfer	Riempiguance	Atiborramiento	볼가득넣기	大快朵颐	大快朵頤
ボディプレス	Body Press	Big Splash	Body Press	Schiacciacorpo	Plancha Corporal	바디프레스	扑击	撲擊
まほうのこな	Magic Powder	Poudre Magique	Magiepuder	Magipolvere	Polvo Mágico	마법가루	魔法粉	魔法粉
ムゲンダイビーム	Eternabeam	Laser Infinimax	Unendynastrahlen	Raggio Infinito	Rayo Infinito	무한다이빔	无极光束	無極光束
りんごさん	Apple Acid	Acide Malique	Apfelsäure	Acido Malico	Ácido Málico	사과산	苹果酸	蘋果酸
ワイドブレイカー	Breaking Swipe	Abattage	Breitseite	Vastoimpatto	Vasto Impacto	와이드브레이커	广域破坏	廣域破壞
ワンダースチーム	Strange Steam	Vapeur Féérique	Wunderdampf	Vapore Incantato	Cautivapor	원더스팀	神奇蒸汽	神奇蒸汽
